name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Beijing,2020-06-13,33,23,28.2,32,23,28,15.2,48.9,0,0,0,,0,0,39.6,21.6,22,1001.5,29.3,9.6,233.8,20.2,8,,2020-06-13T04:45:24,2020-06-13T19:43:53,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-14,36,21,29.3,33.8,21,28.1,7.2,26.2,0,0,0,,0,0,46.8,21.6,280.7,1007.4,0,12.6,360.4,31.2,10,,2020-06-14T04:45:24,2020-06-14T19:44:18,0.81,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-06-15,38,17,29.8,35.3,17,28.4,8.3,30.7,0,0,0,,0,0,25.2,14.4,190.8,1005.3,38.5,12,280.2,24.1,10,,2020-06-15T04:45:25,2020-06-15T19:44:41,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-16,37,22,29.2,34.6,22,28.3,11.4,36.3,0,0,0,,0,0,39.6,23.6,175.7,1004.3,87.8,11,204,17.6,6,,2020-06-16T04:45:28,2020-06-16T19:45:03,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-17,32,22,27.1,30.8,22,26.8,13.2,43.1,0,0,0,,0,0,39.6,21.6,201.9,1002.3,73,12.3,207.4,18.1,7,,2020-06-17T04:45:32,2020-06-17T19:45:23,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-18,32,21,25.6,31.6,21,25.5,15.1,53.7,7,100,4.17,rain,0,0,36,25.2,145.3,1003.8,28.2,10.9,253,21.9,8,,2020-06-18T04:45:39,2020-06-18T19:45:41,0.97,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"ZBAA,54511099999"
Beijing,2020-06-19,34,19,27,33.3,19,26.6,14.8,50.9,0.1,100,4.17,rain,0,0,39.6,25.2,207.4,1006.4,31.6,11.4,308.8,26.4,9,,2020-06-19T04:45:48,2020-06-19T19:45:58,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-06-20,33,22.3,28.8,34.6,22.3,29.4,16.7,48.4,0,0,0,,0,0,32.4,14.6,165.3,1004,47.5,10.8,233.7,20,7,,2020-06-20T04:45:58,2020-06-20T19:46:13,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-21,36,25,30.4,36.3,25,30.8,17.1,46.4,0,0,0,,0,0,34.4,21.6,157.6,1002.2,36.9,11.7,298.4,25.7,9,,2020-06-21T04:46:10,2020-06-21T19:46:25,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-22,34,24.5,29,34.6,24.5,29.4,17.4,51.2,0,0,0,,0,0,32.4,25.2,156.7,1003.2,77.3,10.8,225.7,19.2,7,,2020-06-22T04:46:24,2020-06-22T19:46:36,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-23,31,22,25.9,32.4,22,26.3,18.6,65.3,0,0,0,,0,0,32.4,21.6,120.9,1003.5,52,9.4,199.8,17.4,7,,2020-06-23T04:46:39,2020-06-23T19:46:46,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-24,30,20.8,24.8,30.8,20.8,25,17.5,65.5,2,100,4.17,rain,0,0,54,14.6,175.1,1003,37.2,11.1,295.5,25.5,8,,2020-06-24T04:46:57,2020-06-24T19:46:53,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"ZBAA,54511099999"
Beijing,2020-06-25,28.1,19,23.1,29.3,19,23.3,18.8,78.1,15.5,100,12.5,rain,0,0,54,18,103.4,1002.4,38.5,9.2,281.1,24.4,9,,2020-06-25T04:47:16,2020-06-25T19:46:58,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-06-26,29,18,23.2,30.3,18,23.5,17.8,73.6,0.1,100,4.17,rain,0,0,36,10.8,145.3,1003.6,62.2,9.9,178.7,15.6,5,,2020-06-26T04:47:36,2020-06-26T19:47:02,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-06-27,33,22,27.3,34,22,28,19.2,64.2,0,0,0,,0,0,21.6,14.4,144.9,1004.4,1.2,7.6,308.8,26.6,9,,2020-06-27T04:47:58,2020-06-27T19:47:04,0.2,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-06-28,32,22,27.6,32.4,22,27.9,17.8,57.3,0,0,0,,0,0,21.6,11,160.2,1004.9,45.9,9.3,230,19.9,6,,2020-06-28T04:48:22,2020-06-28T19:47:03,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-29,28,22,25,28.6,22,25.2,17.6,64.2,0,0,0,,0,0,21.6,14.4,22.8,1001.5,58.7,10.8,112.5,9.6,3,,2020-06-29T04:48:48,2020-06-29T19:47:01,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-30,35,21.9,28.2,33.7,21.9,27.6,14.5,48,0.1,100,4.17,rain,0,0,25.2,14.4,245.2,1001.9,46.4,11.8,287.2,24.7,9,,2020-06-30T04:49:15,2020-06-30T19:46:57,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-01,35,21,27.9,35.7,21,28.2,17.1,54.5,0,0,0,,0,0,28.8,18,107.5,1003.1,31.9,11.1,271.7,23.5,8,,2020-07-01T04:49:43,2020-07-01T19:46:51,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-02,29,21,25.3,30.3,21,25.6,19.1,69.9,0,0,0,,0,0,32.4,18,61.6,1007.4,80.1,10.7,138.1,11.9,4,,2020-07-02T04:50:13,2020-07-02T19:46:43,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-03,27.4,21,23.9,28.4,21,24,19.4,77.2,1,100,4.17,rain,0,0,28.8,14.4,104.6,1009.1,51.9,7.3,174.2,15.1,6,,2020-07-03T04:50:44,2020-07-03T19:46:32,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-04,30,20,25.4,31.3,20,26,18.7,68.3,0,0,0,,0,0,25.2,18,197.2,1003.9,75.1,9.6,152.6,13.1,6,,2020-07-04T04:51:17,2020-07-04T19:46:20,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-05,33,22,25.7,33.6,22,26.1,19.1,69.4,0,0,0,,0,0,32.4,14.4,221,997.6,39.9,10.2,247.7,21.2,9,,2020-07-05T04:51:50,2020-07-05T19:46:06,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-06,33,19,25.4,34.6,19,26,18.8,69.4,52,100,4.17,rain,0,0,50.4,10.8,10.9,998.5,16.7,11.5,321.4,27.7,9,,2020-07-06T04:52:26,2020-07-06T19:45:50,0.51,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-07,34,20.3,27.3,32.1,20.3,26.7,14.1,51.3,0.1,100,4.17,rain,0,0,50.4,18,24.2,1005.4,3.2,11.7,339.9,29.2,10,,2020-07-07T04:53:02,2020-07-07T19:45:32,0.53,Rain,Clear conditions throughout the day with morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-08,33,20,27.3,33,20,27.6,17.5,57.4,0,0,0,,0,0,25.2,21.6,147.5,1004.9,34,10.8,287.8,24.8,9,,2020-07-08T04:53:40,2020-07-08T19:45:12,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-09,27,19.1,21.9,27.9,19.1,21.9,18.8,83.5,6.1,100,12.5,rain,0,0,25.2,21.6,318.5,1003.1,40.6,8.5,79.4,7,2,,2020-07-09T04:54:19,2020-07-09T19:44:50,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-10,25,20,22.5,25,20,22.5,18.8,80.9,0.7,100,8.33,rain,0,0,21.6,14.4,346.9,1004,22,7,229.4,19.7,7,,2020-07-10T04:54:59,2020-07-10T19:44:26,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-11,26,21,23.5,26,21,23.5,21.1,86.7,0.1,100,4.17,rain,0,0,18,7.2,34.8,1006.5,51.2,3.9,166.2,14.3,6,,2020-07-11T04:55:40,2020-07-11T19:44:01,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-12,28,22,24.6,30,22,25,21.5,84,22.2,100,8.33,rain,0,0,18,7.2,55.6,1006.9,29.8,3.6,166.7,14.4,6,,2020-07-12T04:56:22,2020-07-12T19:43:33,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-13,31,22,25.4,32.4,22,25.8,20.3,75.9,0,0,0,,0,0,36,14.4,96.3,1006.8,12,7.1,224.2,19.5,7,,2020-07-13T04:57:05,2020-07-13T19:43:03,0.78,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-07-14,33,20,27,34.6,20,27.8,19.1,65.3,0,0,0,,0,0,36,14.4,240.5,1006,5.1,10.1,295.3,25.7,8,,2020-07-14T04:57:49,2020-07-14T19:42:32,0.83,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-07-15,35,21,28.5,36.9,21,29.3,19.2,60.9,0,0,0,,0,0,25.2,14.6,204.3,1003.6,2,10.6,321.8,27.7,9,,2020-07-15T04:58:34,2020-07-15T19:41:58,0.87,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-07-16,34,22,28.6,37.3,22,30.4,20.6,63.5,0,0,0,,0,0,27.1,18,180.6,1002.6,27.7,9.9,284.7,24.6,8,,2020-07-16T04:59:20,2020-07-16T19:41:23,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-17,30,21.6,27,32.5,21.6,28.4,20.9,70.1,20,100,8.33,rain,0,0,28.8,21.6,195.4,1003.3,62.2,8.9,229.8,19.7,8,,2020-07-17T05:00:07,2020-07-17T19:40:46,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-18,26,21,23.4,26,21,23.4,21.1,87,1,100,4.17,rain,0,0,21.6,14.4,60,1003.7,55.7,6.5,202.2,17.6,8,,2020-07-18T05:00:54,2020-07-18T19:40:06,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-19,34,20,25.9,33,20,26.1,18.6,68.9,0,0,0,,0,0,25.2,10.8,9.4,1002.4,30,9.2,284.3,24.6,9,,2020-07-19T05:01:43,2020-07-19T19:39:26,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-20,35,19,27.2,37.1,19,28.5,19.6,65.9,0,0,0,,0,0,25.2,10.8,189.9,1004.2,20.8,9.7,324.2,28,9,,2020-07-20T05:02:32,2020-07-20T19:38:43,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-21,34,24,29,35.3,24,30,19,56.8,0,0,0,,0,0,28.8,18,170.9,1007.8,64,11.1,210.9,18.4,7,,2020-07-21T05:03:21,2020-07-21T19:37:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-22,33,22,27.6,34.2,22,28.1,18.6,60.4,0,0,0,,0,0,28.8,14.4,126.9,1006.6,48.3,10.6,238.4,20.7,9,,2020-07-22T05:04:12,2020-07-22T19:37:12,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-23,33,20,27.6,34.6,20,28.2,18,58.3,0,0,0,,0,0,28.8,10.8,121.8,1007.6,21.3,11,312.1,27,9,,2020-07-23T05:05:03,2020-07-23T19:36:24,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-24,38,22,31,38.1,22,31.3,17.1,48.6,0,0,0,,0,0,23.5,14.4,254.8,1006.6,37.4,11.9,325.1,27.9,9,,2020-07-24T05:05:54,2020-07-24T19:35:34,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-25,34,22,28.7,35.1,22,29.4,18.4,56.2,0,0,0,,0,0,25.2,7.4,182.3,1004.3,67.1,11.3,237.7,20.6,8,,2020-07-25T05:06:46,2020-07-25T19:34:43,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-26,29,21,23.9,30.3,21,24.2,18.5,74.2,1.2,100,8.33,rain,0,0,46.8,28.8,202.6,1005.8,62.7,9.7,157.4,13.6,5,,2020-07-26T05:07:39,2020-07-26T19:33:50,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-27,24,21,22.3,24,21,22.3,20.7,90.4,3.9,100,12.5,rain,0,0,14.4,10.8,130,1006,48.7,4.4,176.5,15.4,6,,2020-07-27T05:08:32,2020-07-27T19:32:55,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-07-28,29.3,22,23.9,32.4,22,24.2,21.7,88,0,0,0,,0,0,36,21.6,111.3,1006.9,19.1,5.5,258.9,22.5,8,,2020-07-28T05:09:26,2020-07-28T19:31:59,0.31,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-07-29,30.8,21,25.7,35.4,21,27.3,22.3,82.7,0,0,0,,0,0,36,7.2,118.3,1008.5,19.6,5.3,295,25.5,9,,2020-07-29T05:10:19,2020-07-29T19:31:01,0.36,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-07-30,34,24,28.7,39.3,24,31.7,23.4,75.2,0,0,0,,0,0,25.2,14.4,161.4,1008.2,38,7.3,260.3,22.5,8,,2020-07-30T05:11:14,2020-07-30T19:30:01,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-07-31,33,23,27.3,39.3,23,29.5,23.2,79.1,0.3,100,8.33,rain,0,0,39.6,20,160.2,1006.8,13.8,8.6,271.9,23.4,8,,2020-07-31T05:12:08,2020-07-31T19:29:00,0.45,Rain,Clear conditions throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-01,30,22,25.6,35.1,22,26.8,22,81.2,4,100,4.17,rain,0,0,64.8,39.6,278.1,1004.6,37.1,8.4,166.5,14.4,6,,2020-08-01T05:13:03,2020-08-01T19:27:58,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-02,34,21,27.4,37.3,21,28.9,20.6,68.9,0,0,0,,0,0,61.2,32.4,187.9,1000.2,22.6,11.8,270.9,23.2,9,,2020-08-02T05:13:58,2020-08-02T19:26:54,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-08-03,36.6,22,29.4,37.2,22,30.4,19.4,60.4,0,0,0,,0,0,25.7,21.6,292.7,1000,30.2,12.4,302.6,26,9,,2020-08-03T05:14:54,2020-08-03T19:25:48,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-08-04,37,22,29.6,38.9,22,31.3,20.1,59.9,0,0,0,,0,0,18,10.8,84.5,1002.6,63.7,12.2,276,24,9,,2020-08-04T05:15:50,2020-08-04T19:24:41,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-08-05,30,24,26.4,32.5,24,27.4,22.4,79.3,14,100,8.33,rain,0,0,39.6,21.6,7.7,1006.1,72.9,9.3,159.4,13.7,7,,2020-08-05T05:16:45,2020-08-05T19:23:33,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-06,32,22,27.5,36.8,22,30,22.7,76.8,0.1,100,4.17,rain,0,0,28.8,10.8,63.2,1006.3,71.7,9.7,179.2,15.6,5,,2020-08-06T05:17:41,2020-08-06T19:22:23,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-07,33,24,27.9,35.5,24,29.3,21.8,72,0,0,0,,0,0,25.2,10.8,112.1,1004.3,6.4,11.1,299.5,26,9,,2020-08-07T05:18:38,2020-08-07T19:21:12,0.57,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-08-08,31,22,26.9,33.7,22,28,20.4,69,0,0,0,,0,0,21.6,10.8,148.6,999.8,46.8,11.4,230.2,20.1,8,,2020-08-08T05:19:34,2020-08-08T19:20:00,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-08-09,35,19,28.1,37.3,19,29.4,20.6,67.3,21.1,100,8.33,rain,0,0,50.4,14.6,193.6,997.1,14.8,11.2,283.7,24.8,9,,2020-08-09T05:20:31,2020-08-09T19:18:46,0.65,Rain,Clear conditions throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-10,33,20,26.3,34.6,20,27.1,20,71.1,0.1,100,4.17,rain,0,0,50.4,14.4,194.3,1000.2,10.4,11.7,255,21.9,9,,2020-08-10T05:21:27,2020-08-10T19:17:32,0.7,Rain,Clear conditions throughout the day with early morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-11,36,23,29.3,38.6,23,31.8,22.2,68.4,0,0,0,,0,0,36,10.8,161.5,1004.5,28.7,10,235.5,20.6,8,,2020-08-11T05:22:24,2020-08-11T19:16:16,0.74,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-08-12,31.1,22,26.2,36,22,27.8,23,83.3,47,100,12.5,rain,0,0,47.4,18,105.1,1005.8,39.6,8.1,132,11.5,5,,2020-08-12T05:23:21,2020-08-12T19:14:58,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-13,33,22,26.7,38.1,22,28.6,22.8,81.1,11.3,100,8.33,rain,0,0,39.6,18.2,251.6,999.2,29,10.9,258.9,22.2,8,,2020-08-13T05:24:17,2020-08-13T19:13:40,0.84,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"ZBAA,54511099999"
Beijing,2020-08-14,34,24,29.3,40.6,24,32.5,23.7,74.4,0,0,0,,0,0,25.2,14.4,177.8,1000.3,55.3,9.9,207.7,18,8,,2020-08-14T05:25:14,2020-08-14T19:12:21,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-08-15,31,23,26.7,37.7,23,29.2,23.8,84.6,3,100,4.17,rain,0,0,43.2,25.2,173.4,1003.8,69.2,9.9,170.5,14.7,7,,2020-08-15T05:26:11,2020-08-15T19:11:00,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-16,27,23,25,29.6,23,25.5,22.4,85.9,0.5,100,8.33,rain,0,0,28.8,14.4,180.4,1007.5,55.6,7.3,130.3,11.1,5,,2020-08-16T05:27:08,2020-08-16T19:09:39,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-17,26.4,23.9,25,26.4,23.9,25,22.9,88.2,0,0,0,,0,0,14.4,10.8,128.4,1007.8,38,5.5,148.4,12.8,5,,2020-08-17T05:28:05,2020-08-17T19:08:16,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-08-18,26,21.5,23.7,26,21.5,23.7,21.7,88.9,5,100,8.33,rain,0,0,39.6,28.8,341.1,1004.9,65.3,8.2,98.4,8.4,3,,2020-08-18T05:29:02,2020-08-18T19:06:52,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-19,26,21,23.1,26,21,23.1,18.7,76.5,0.3,100,4.17,rain,0,0,39.6,14.4,33.1,1011.1,90.3,12.3,141.7,12.3,5,,2020-08-19T05:29:59,2020-08-19T19:05:28,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-20,27,20,22.9,27.9,20,23,18.8,78.9,0.1,100,4.17,rain,0,0,18,14.4,178.1,1016.3,57,10.9,221.4,19.3,8,,2020-08-20T05:30:56,2020-08-20T19:04:02,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-21,29,17.8,23.3,29.8,17.8,23.5,17.4,71.6,0,0,0,,0,0,25.2,14.4,155.1,1016.7,0,11.8,281.1,24.3,9,,2020-08-21T05:31:52,2020-08-21T19:02:36,0.04,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-08-22,28,18,23.4,28.9,18,23.6,17.3,70.3,0,0,0,,0,0,25.2,18,178.1,1011.4,29.1,11,243.6,20.9,8,,2020-08-22T05:32:49,2020-08-22T19:01:09,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-08-23,28.8,19,23.8,30.2,19,24.2,19.5,78.3,17,100,8.33,rain,0,0,25.2,18,145.3,1004,64,8.2,200.2,17.3,7,,2020-08-23T05:33:46,2020-08-23T18:59:41,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"ZBAA,54511099999"
Beijing,2020-08-24,34,19.8,25.4,35.1,19.8,26,19.2,72.2,44.9,100,12.5,rain,0,0,32.4,21.6,325.6,999.4,48.2,12,237.6,20.7,8,,2020-08-24T05:34:43,2020-08-24T18:58:12,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"ZBAA,54511099999"
Beijing,2020-08-25,35,20,27.2,37.3,20,28.5,20.9,72.4,0,0,0,,0,0,25.2,10.8,64.8,1002.5,73.7,11.8,236.7,20.4,8,,2020-08-25T05:35:39,2020-08-25T18:56:42,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
